emg_0,emg_1,emg_2,emg_3,emg_4,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,dt
85,-0.04213683102801224,0.2693029311599099,-0.21374045801526717,-3.6946564885496183,0.301025390625,-0.0460205078125,-1.1231689453125,-0.05343511450381679,-3.648854961832061,-0.04580152671755725,0.20258498191833496
85,-0.04169979952394449,0.26794835541270245,-0.07633587786259542,-3.5267175572519083,0.304443359375,-0.0484619140625,-1.1224365234375,-0.16793893129770993,-3.7480916030534353,-0.09923664122137404,0.004285573959350586
85,-0.03715403787976044,0.2663832193061197,-0.05343511450381679,-3.2213740458015265,0.30615234375,-0.0450439453125,-1.1278076171875,-0.25190839694656486,-3.3893129770992365,0.007633587786259542,0.004138469696044922
85,-0.03968873206766076,0.26242891691119885,-0.04580152671755725,-3.6717557251908395,0.310791015625,-0.0447998046875,-1.1278076171875,-0.10687022900763359,-3.564885496183206,-0.030534351145038167,0.004170894622802734
85,-0.03742131227179344,0.2648688206382023,-0.16030534351145037,-3.7786259541984735,0.306884765625,-0.0430908203125,-1.1168212890625,0.007633587786259542,-3.687022900763359,-0.20610687022900764,0.0041637420654296875
85,-0.03899218767325324,0.26275497617980687,-0.16793893129770993,-3.564885496183206,0.3076171875,-0.0430908203125,-1.1285400390625,-0.06870229007633588,-3.6030534351145036,0.0,0.004116058349609375
86,-0.03884913027306303,0.2682773193047141,-0.2366412213740458,-3.6946564885496183,0.3095703125,-0.0445556640625,-1.1273193359375,-0.08396946564885496,-3.564885496183206,-0.06870229007633588,0.004117250442504883
85,-0.037506133096647465,0.2631178486400817,-0.19083969465648856,-3.6412213740458017,0.304443359375,-0.0472412109375,-1.1231689453125,-0.16793893129770993,-3.4885496183206106,-0.015267175572519083,0.004233837127685547
85,-0.037355094494244276,0.26720861704027105,-0.2900763358778626,-3.8396946564885495,0.306884765625,-0.0465087890625,-1.1265869140625,-0.07633587786259542,-3.7099236641221376,-0.03816793893129771,0.003938913345336914
85,-0.04199815977953163,0.26565523008568903,-0.183206106870229,-3.7251908396946565,0.306884765625,-0.0440673828125,-1.1326904296875,-0.16793893129770993,-3.732824427480916,-0.22900763358778625,0.004026174545288086
85,-0.040161979947023654,0.26539775056019127,-0.16793893129770993,-3.7709923664122136,0.314208984375,-0.0447998046875,-1.1214599609375,-0.08396946564885496,-3.50381679389313,-0.04580152671755725,0.0042095184326171875
86,-0.03820679348739348,0.2673104031317889,-0.19083969465648856,-3.7099236641221376,0.3046875,-0.0506591796875,-1.1314697265625,-0.20610687022900764,-3.5267175572519083,-0.07633587786259542,0.004210710525512695
