A0,A1,A2,A3,A4,A5,A6,A7,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Timestamp
9,,14,,0,1,9,,0.004638671875,3.944580078125,0.837646484375,500.12213740458014,496.8473282442748,500.2519083969466,1709545658.22951
6,,14,,0,1,7,,0.0078125,3.94775390625,0.85009765625,500.23664122137404,496.8702290076336,0.12213740458015267,1709545659.2409034
8,,14,,0,1,7,,0.003173828125,3.9482421875,0.853271484375,0.022900763358778626,496.68702290076334,0.06870229007633588,1709545660.2570493
5,,14,,0,1,8,,3.99560546875,3.947265625,0.847900390625,500.0687022900763,496.96946564885496,500.25954198473283,1709545661.273089
