window;emg_0;emg_1;emg_2;emg_3;emg_4
0.0;5.320142820245538e-05;-1.4637174064677239e-05;-0.0003972622900625805;-0.0004852051475178129;-0.004804731644753889
0.0;5.320142820245538e-05;1.1963540036553921e-05;-0.0003114783777406205;-0.0004234936705741141;-0.004694012776680481
0.0;5.3201428202453646e-05;1.1963540036540043e-05;-0.00033807909184188634;-0.0005092775828961227;-0.004542918540814407
0.0;2.6600714101225956e-05;-4.721965818418189e-05;-0.0003140066564635835;-0.00034547926121589884;-0.004132294415074678
0.0;5.320142820245538e-05;9.176568234024046e-05;-8.072735487595073e-05;-0.0001645388674574519;-0.0037758606049657084
0.0;2.6600714101229425e-05;-4.721965818419577e-05;-0.00034060737056486323;-0.00035146103123426253;-0.003670647014040393
0.0;2.6600714101229425e-05;-4.721965818417495e-05;-0.00031400665646361126;-0.0002656771189122886;-0.0034227305383881107
0.0;7.980214230368307e-05;9.774745235851395e-05;-0.000276367614898132;-0.0004783608571262421;-0.0034828792433274497
0.0;5.320142820245538e-05;-1.4637174064677239e-05;-0.00042386300416380474;-0.0004911869175360448;-0.003279055679670184
0.0;7.980214230368134e-05;4.4546024156044695e-05;-0.00044793543954205206;-0.0006283845251149264;-0.002992079468759512
0.0;7.980214230368134e-05;7.114673825726198e-05;-0.00036215152722013366;-0.0004602701917664487;-0.0022722178103862928
0.0;2.660071410122769e-05;-7.382037228541305e-05;-0.00042639128288682326;-0.0003333703658743026;0.0003064886854287213
0.0;2.660071410122769e-05;-4.721965818418189e-05;-0.0003672080846660736;-0.0003574428012524944;0.0001958917919511749
0.0;2.6600714101229425e-05;-4.721965818417495e-05;-0.00031400665646361126;-0.00021247569070983324;0.00023353083351659865
0.0;5.320142820245538e-05;9.176568234023352e-05;-0.00010732806897724434;-0.00019712135157719246;0.00011129714510819955
0.0;5.320142820245538e-05;9.176568234024046e-05;-0.00010732806897717495;-0.0002769234938806778;-0.00014605459185725034
0.0;5.3201428202453646e-05;6.516496823898849e-05;-0.00016651126719799403;-0.000306052486705094;-0.00020702552302391541
0.0;2.660071410122769e-05;-4.721965818418189e-05;-0.00031400665646361126;-0.00039868068941839585;-0.0003669565527369828
0.0;2.6600714101229425e-05;5.981770018273491e-06;-0.00016903954592094317;-0.00022803807734683018;-9.751930113886809e-05
0.0;0.0;-5.320142820245538e-05;-0.00014496711054270972;-3.763904156553477e-05;0.00015948231001144952
0.0;5.320142820245538e-05;6.516496823899542e-05;-0.00019311198129916274;-0.00023223211441950053;0.0002459664739645484
0.0;5.320142820245538e-05;9.176568234022658e-05;-0.00013392878307845468;-0.00028290526389903453;4.9585668164778274e-05
0.0;5.320142820245538e-05;6.516496823899542e-05;-0.0001931119812991905;-0.0002588328285208011;0.00013358184754119762
0.0;5.320142820245538e-05;9.176568234024046e-05;-0.00010732806897717495;-0.00022372206567813913;2.551323278690565e-05
0.0;2.6600714101225956e-05;-2.061894408295767e-05;-0.0002548234582428477;-0.00023654812608795567;0.00012293394003927427
0.0;2.660071410122769e-05;-2.061894408295767e-05;-0.0002814241723441274;-0.0004021341807137202;-0.00019612927387063772
0.0;5.3201428202453646e-05;9.176568234022658e-05;-0.00010732806897723046;-0.0002503227797795715;-3.3669965434246496e-05
0.0;5.320142820245538e-05;6.516496823899542e-05;-0.00021971269540041471;-0.0003712174549439576;1.2687172376804612e-05
0.0;2.660071410122769e-05;3.258248411949077e-05;-8.325563359896926e-05;-5.992374399811651e-05;0.00017013021751402513
0.0;2.6600714101225956e-05;3.258248411950465e-05;-5.665491949771728e-05;-7.4054577729743e-07;0.0001992592103384483
0.0;5.320142820245538e-05;9.176568234024046e-05;-0.00010732806897718883;-0.0001971213515769149;8.469643100766922e-05
0.0;5.3201428202457116e-05;9.176568234022658e-05;-0.00013392878307842693;-0.0002829052638989582;4.958566816493093e-05
0.0;5.320142820245538e-05;6.516496823899542e-05;-0.00016651126719792464;-0.0001996496302999473;0.00013611012626445207
0.0;5.3201428202453646e-05;6.516496823900236e-05;-0.00021971269540041471;-0.0004510195972476719;-0.00021806385048792065
0.0;5.320142820245538e-05;9.176568234022658e-05;-0.00013392878307846856;-0.0003893081203039869;-0.00029354998112313124
0.0;0.0;-7.98021423036796e-05;-0.00023075102286462812;-7.274980440787754e-05;0.00032075235296886995
0.0;2.660071410122769e-05;3.258248411949077e-05;-8.325563359902477e-05;-3.3323029897093515e-05;0.00025591412983555495
0.0;2.6600714101229425e-05;3.258248411950465e-05;-8.325563359899701e-05;-3.332302989699637e-05;0.0002825148439369318
0.0;2.6600714101225956e-05;3.258248411949771e-05;-0.00010985634770019348;-0.0001989090845225805;-9.947655871367367e-06
0.0;5.320142820245538e-05;0.00014496711054269584;3.763904156547926e-05;-0.00015948231001157442;-4.8185164903014055e-05
0.0;5.320142820245538e-05;0.00011836639644145774;-7.4745584857705e-05;-0.0003867798415808782;-0.0003449636763796782
0.0;2.6600714101225956e-05;3.258248411950465e-05;-0.00013645706180140382;-0.00033789442504691264;-0.00026982767155998844
0.0;5.320142820245191e-05;0.0001449671105426889;1.1038327464255038e-05;-0.00032506836463721406;-0.00034064766471136876
0.0;5.320142820245538e-05;0.00017156782464391312;0.00012342295388746705;-1.796869076409191e-05;0.00013368044142790525
0.0;5.320142820245538e-05;0.00022476925284636157;0.00029499077853135935;0.00013205497722452997;0.00014829423478318615
0.0;5.3201428202453646e-05;0.00019816853874513735;0.0002358075803105958;0.0001029259844002664;8.732330361682639e-05
0.0;2.660071410122769e-05;0.00011238462642318425;0.00014749538926567274;3.9426774511026885e-05;1.4963919170815632e-05
0.0;5.320142820245538e-05;0.00019816853874514428;0.00020920686620938544;-9.458642022966424e-06;-8.67727997502371e-05
0.0;7.980214230368134e-05;0.00023075102286463506;9.935051850920584e-05;-0.0002349684406465699;-0.00018250436794298164
0.0;5.320142820245538e-05;0.0001449671105426889;3.763904156547926e-05;-0.00021268373821402287;-0.00021975298954686473
0.0;5.320142820245538e-05;0.00014496711054268197;3.763904156547926e-05;-0.00018608302411272926;-0.00013396907722468265
0.0;2.660071410122769e-05;8.578391232195309e-05;6.171147694368495e-05;-4.888541653400025e-05;-4.8535290718604296e-05
0.0;2.660071410122769e-05;0.00013898534052440153;0.0002332793015876189;7.453753735350149e-05;-0.0001463061237862856
0.0;2.660071410122769e-05;0.0001389853405244154;0.00025988001568887087;0.0002135228778779516;0.00011357389190259914
0.0;2.6600714101225956e-05;0.00011238462642318425;0.00014749538926567274;1.2826060409809603e-05;-9.742070725234087e-05
0.0;5.320142820245538e-05;0.00017156782464390619;0.00015002366798863576;1.4613793355218452e-05;5.04248078284919e-05
0.0;2.660071410122769e-05;5.918319822072193e-05;-2.4072435378247325e-05;-0.0001371976075788331;-0.00011203450060752462
0.0;5.320142820245538e-05;0.00011836639644145774;-7.4745584857705e-05;-0.0003867798415809198;-0.00034496367637983083
0.0;7.980214230368307e-05;0.00020415030876341084;-3.963482201521651e-05;-0.0005214491704368038;-0.00042860972994078483
0.0;0.0;0.0;0.0;2.660071410122422e-05;8.578391232196003e-05
