emg_0,emg_1,emg_2,emg_3,emg_4,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
494,548,174,679,3812,0.085205078125,0.093017578125,-1.1512451171875,-0.7786259541984732,-4.061068702290076,0.10687022900763359
492,552,172,684,3812,0.08154296875,0.09423828125,-1.1566162109375,-0.7709923664122137,-3.969465648854962,0.2366412213740458
490,556,172,689,3812,0.0830078125,0.09423828125,-1.1524658203125,-0.7022900763358778,-4.068702290076335,0.0916030534351145
489,561,170,697,3812,0.08251953125,0.083251953125,-1.1556396484375,-0.7633587786259542,-3.9923664122137406,0.13740458015267176
486,565,169,701,3812,0.0810546875,0.0859375,-1.1580810546875,-0.8015267175572519,-3.9236641221374047,0.32061068702290074
485,568,168,704,3812,0.083740234375,0.088134765625,-1.1522216796875,-0.6793893129770993,-4.038167938931298,0.022900763358778626
483,572,167,705,3812,0.082275390625,0.091064453125,-1.1490478515625,-0.5877862595419847,-3.946564885496183,0.11450381679389313
483,574,166,705,3812,0.0810546875,0.08984375,-1.1488037109375,-0.5648854961832062,-3.7557251908396947,0.2900763358778626
482,576,164,704,3812,0.083984375,0.090087890625,-1.1561279296875,-0.6106870229007634,-3.8473282442748094,0.19083969465648856
480,580,163,703,3812,0.085693359375,0.088623046875,-1.1510009765625,-0.6564885496183206,-3.900763358778626,-0.007633587786259542
478,582,162,702,3812,0.087158203125,0.08642578125,-1.1422119140625,-0.6183206106870229,-3.7938931297709924,0.16793893129770993
476,585,162,702,3812,0.082275390625,0.0849609375,-1.1510009765625,-0.4580152671755725,-3.9160305343511452,0.3511450381679389
476,588,160,702,3812,0.085205078125,0.09033203125,-1.1580810546875,-0.3893129770992366,-3.9160305343511452,0.31297709923664124
474,592,159,702,3813,0.08984375,0.089599609375,-1.1492919921875,-0.46564885496183206,-3.7251908396946565,0.2366412213740458
474,594,158,702,3812,0.08056640625,0.081787109375,-1.1448974609375,-0.3282442748091603,-3.6106870229007635,0.2595419847328244
472,597,157,703,3812,0.087646484375,0.08740234375,-1.1466064453125,-0.1450381679389313,-3.786259541984733,0.1450381679389313
471,601,156,704,3812,0.080810546875,0.08837890625,-1.1544189453125,-0.1297709923664122,-3.969465648854962,0.17557251908396945
470,605,155,705,3812,0.08935546875,0.08935546875,-1.1607666015625,-0.2595419847328244,-3.8702290076335877,0.16030534351145037
468,608,154,707,3812,0.084716796875,0.094970703125,-1.1527099609375,-0.31297709923664124,-3.7022900763358777,0.0
467,612,154,711,3812,0.08740234375,0.09130859375,-1.1524658203125,-0.09923664122137404,-3.7786259541984735,0.183206106870229
466,614,153,714,3813,0.08251953125,0.086181640625,-1.1605224609375,-0.061068702290076333,-3.9770992366412212,0.17557251908396945
464,617,152,716,3812,0.081787109375,0.087890625,-1.1539306640625,-0.06870229007633588,-3.969465648854962,0.007633587786259542
463,620,151,716,3812,0.082763671875,0.0908203125,-1.1551513671875,-0.07633587786259542,-3.885496183206107,0.0
461,624,151,717,3812,0.08349609375,0.091552734375,-1.1468505859375,0.007633587786259542,-3.8244274809160306,0.04580152671755725
460,627,149,716,3812,0.08154296875,0.08984375,-1.1441650390625,0.007633587786259542,-3.7404580152671754,0.183206106870229
459,629,148,715,3813,0.08544921875,0.0888671875,-1.1483154296875,0.0,-3.7786259541984735,0.183206106870229
457,631,148,714,3813,0.086181640625,0.0869140625,-1.1622314453125,-0.022900763358778626,-3.7022900763358777,0.13740458015267176
456,633,146,714,3812,0.08154296875,0.084228515625,-1.1558837890625,-0.03816793893129771,-3.8702290076335877,-0.08396946564885496
456,636,146,714,3812,0.08837890625,0.088623046875,-1.1470947265625,-0.06870229007633588,-3.9389312977099236,0.0916030534351145
454,639,145,714,3813,0.0859375,0.088134765625,-1.1444091796875,-0.061068702290076333,-3.8244274809160306,0.15267175572519084
453,640,143,712,3812,0.087646484375,0.086181640625,-1.1502685546875,-0.16030534351145037,-3.8244274809160306,0.2748091603053435
451,643,143,712,3812,0.08642578125,0.089599609375,-1.1553955078125,-0.26717557251908397,-3.8091603053435112,0.03816793893129771
449,645,143,713,3812,0.078857421875,0.086181640625,-1.1519775390625,-0.3282442748091603,-3.7099236641221376,-0.06870229007633588
